dataset,cp,ctree,forest,student(tree),student(forest),classifier
s1,0.8909999999999998,0.914,0.9036500000000001,0.9200000000000002,0.9029999999999999,0.585
s2,0.891,0.8940000000000001,0.8969800000000001,0.9049999999999999,0.905,0.535
s3,0.9010000000000001,0.921,0.90187,0.9039999999999999,0.9040000000000001,0.5780000000000001
test,0.8775000000000001,0.8925000000000001,0.8952500000000001,0.905,0.9,0.68
bike,0.9032139577594123,0.8970156106519743,0.898823691460055,0.8957300275482094,0.9,0.5983011937557392
bio,0.8987754209490486,0.8984474087032585,0.8962422917122239,0.8979444565930461,0.900502952110212,0.5914826153509731
community,0.8989974937343359,0.8884711779448621,0.8808897243107768,0.9005012531328319,0.8922305764411028,0.5090225563909774
concrete,0.8936893203883496,0.8990291262135921,0.8894077669902911,0.8995145631067961,0.8985436893203884,0.5805825242718445
homes,0.8988433957899608,0.8956743002544532,0.8928422391857506,0.9012260004626418,0.8987971316215588,0.5783715012722646
star,0.9053117782909933,0.9006928406466512,0.901676674364896,0.9032332563510395,0.8988452655889146,0.5108545034642031
