dataset,cp,ctree,forest,student(tree),student(forest),classifier
s1,6.41324689510427,5.407233093773552,5.291879874879326,5.820946703235291,8.04270846006644,9.320748294500003
s2,7.308274748598127,5.017094202660193,5.603935410696176,5.52539334125305,6.75166911356811,8.182176777783274
s3,8.450805165326395,6.978327578120402,6.845888297873276,7.437092137363993,9.744318077257537,11.5118520738923
test,8.220069238381717,6.738466046197199,6.623779779401071,6.71389884493846,10.93414503092078,9.84380928233425
bike,1.6320643433292745,1.390256955842021,1.2967649422047773,1.4083073699810977,1.2656913175090094,2.037457960499444
bio,3.329250633205169,3.2277694737587943,3.1541200158314795,4.061167305721856,3.067007134149711,4.983494089909665
community,4.1644704985514025,3.654644085883395,3.6920859741676706,5.7672669826509475,3.737935787920313,6.260996463124668
concrete,1.1123934635155164,1.1007924542361773,1.0842539361089294,1.3137156944069708,1.1701468056472,1.4942230183526255
homes,1.6608579552355547,1.4192450350760053,1.2333850314750179,1.3910992443486938,1.1433747040322546,1.914132760537333
star,0.289810398758115,0.29077769163578215,0.29926395182654986,0.36633993122252584,0.3228492711184868,0.5415566023132151
